trial,scheduled_rollout_id,attempt,attempt_directory,disposition
1,t001_m12_eval_7_r1,1,t001_m12_eval_7_r1,eligible
2,t002_m04_eval_6_r2,1,t002_m04_eval_6_r2,eligible
3,t003_m03_eval_3_r1,1,t003_m03_eval_3_r1,eligible
4,t004_m06_eval_5_r1,1,t004_m06_eval_5_r1,eligible
5,t005_m05_eval_1_r1,1,t005_m05_eval_1_r1,eligible
6,t006_m06_eval_6_r2,1,t006_m06_eval_6_r2,incomplete_or_invalid
6,t006_m06_eval_6_r2,2,t006_m06_eval_6_r2_retry1,incomplete_or_invalid
6,t006_m06_eval_6_r2,3,t006_m06_eval_6_r2_retry2,incomplete_or_invalid
6,t006_m06_eval_6_r2,4,t006_m06_eval_6_r2_retry3,eligible
7,t007_m04_eval_5_r1,1,t007_m04_eval_5_r1,eligible
8,t008_m10_eval_1_r1,1,t008_m10_eval_1_r1,eligible
9,t009_m03_eval_4_r2,1,t009_m03_eval_4_r2,eligible
10,t010_m10_eval_2_r2,1,t010_m10_eval_2_r2,eligible
11,t011_m02_eval_7_r1,1,t011_m02_eval_7_r1,eligible
12,t012_m01_eval_4_r2,1,t012_m01_eval_4_r2,eligible
13,t013_m07_eval_1_r1,1,t013_m07_eval_1_r1,eligible
14,t014_m08_eval_7_r1,1,t014_m08_eval_7_r1,eligible
15,t015_m11_eval_5_r1,1,t015_m11_eval_5_r1,eligible
16,t016_m12_eval_8_r2,1,t016_m12_eval_8_r2,eligible
17,t017_m07_eval_2_r2,1,t017_m07_eval_2_r2,incomplete_or_invalid
17,t017_m07_eval_2_r2,2,t017_m07_eval_2_r2_retry1,eligible
18,t018_m09_eval_3_r1,1,t018_m09_eval_3_r1,eligible
19,t019_m05_eval_2_r2,1,t019_m05_eval_2_r2,eligible
20,t020_m08_eval_8_r2,1,t020_m08_eval_8_r2,eligible
21,t021_m11_eval_6_r2,1,t021_m11_eval_6_r2,eligible
22,t022_m01_eval_3_r1,1,t022_m01_eval_3_r1,eligible
23,t023_m02_eval_8_r2,1,t023_m02_eval_8_r2,eligible
24,t024_m09_eval_4_r2,1,t024_m09_eval_4_r2,incomplete_or_invalid
24,t024_m09_eval_4_r2,2,t024_m09_eval_4_r2_retry1,eligible
25,t025_m11_eval_6_r1,1,t025_m11_eval_6_r1,eligible
26,t026_m07_eval_2_r1,1,t026_m07_eval_2_r1,eligible
27,t027_m08_eval_1_r2,1,t027_m08_eval_1_r2,eligible
28,t028_m09_eval_5_r2,1,t028_m09_eval_5_r2,eligible
29,t029_m08_eval_8_r1,1,t029_m08_eval_8_r1,eligible
