attempt,condition,created_utc,d,execution_controller,experiment_tag,failure_code,hold_duration_s,interpolation_steps,lift_threshold_mm,mock,model_code,object_move,policy_action_hz,position_id,repeat,robot_command_hz,rollout_id,scheduled_rollout_id,seed,session,success,video_path,attempt_directory,grasp_x_mm,grasp_y_mm,grasp_z_mm,target_x_mm,target_y_mm,target_z_mm,E1,E2,E3,close_error_3d_mm,clean,lift_mm,measured_hold_duration_s,duration_s,evaluation_group,analysis_eligible,exclusion_reason,outcome_corrected,original_success,correction_reason,trial,policy_timeout_s,inference_server
1,B,2026-08-26T03:04:57.411568+00:00,113.82761137398948,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,operator_failure,3.0,6,50.0,False,M12,False,5.0,eval_7,1,30.0,t001_m12_eval_7_r1,t001_m12_eval_7_r1,0,1,False,,t001_m12_eval_7_r1,,,,562.8603649139404,67.22353074153263,552.4164560953776,,,45.75783969191824,,,,0.0,44.41572904586792,q_unseen,True,,False,,,1,,
1,C,2026-08-26T03:06:27.709232+00:00,116.29016762156017,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,,3.0,6,50.0,False,M04,False,5.0,eval_6,2,30.0,t002_m04_eval_6_r2,t002_m04_eval_6_r2,0,1,True,,t002_m04_eval_6_r2,724.8988957214293,-115.46440686500968,552.462816838515,718.6022155761718,-109.0510589281718,551.8818461100261,8.98772566396096,0.5809707284888646,9.105841374474574,9.006483198118087,True,95.4411,5.299951553344727,54.76130652427673,q_unseen,True,,False,,,2,,
1,A,2026-08-26T03:09:59.189464+00:00,186.3321117035785,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,operator_failure,3.0,6,50.0,False,M03,False,5.0,eval_3,1,30.0,t003_m03_eval_3_r1,t003_m03_eval_3_r1,1,1,False,,t003_m03_eval_3_r1,644.9705860736412,-19.430223166402957,552.1986217401871,643.7679412841796,-201.69928894042968,553.3763702392578,182.2730333665024,-1.177748499070617,161.99773617719987,182.27683830962496,True,77.65639999999996,4.449930906295776,40.68797969818115,exact_grid,True,,False,,,3,,
1,D,2026-08-26T04:21:32.976721+00:00,110.52566178042107,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,,3.0,6,50.0,False,M06,False,5.0,eval_5,1,30.0,t004_m06_eval_5_r1,t004_m06_eval_5_r1,1,1,True,,t004_m06_eval_5_r1,708.6636271903136,85.76532694287488,559.2494747929215,711.2796020507812,69.46831630071003,551.9436281840007,16.505631776500802,7.305846608920888,1.076781901024616,18.050243073557596,True,92.76189999999997,7.799970626831055,52.13181781768799,q_unseen,True,,False,,,4,60.0,
1,A,2026-08-26T04:23:39.983542+00:00,0.0,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,,3.0,6,50.0,False,M05,False,5.0,eval_1,1,30.0,t005_m05_eval_1_r1,t005_m05_eval_1_r1,0,1,True,,t005_m05_eval_1_r1,638.0878839002993,-15.422053579684688,551.7367921737222,640.4706359863281,-15.396353832880656,552.2020701090495,2.3828906774043723,-0.46527793532732176,2.3829668707036773,2.427890347104482,True,78.3732,6.349895477294922,41.94606804847717,exact_grid,True,,False,,,5,60.0,
4,D,2026-08-26T04:39:59.369973+00:00,116.29016762156017,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,,3.0,6,50.0,False,M06,False,5.0,eval_6,2,30.0,t006_m06_eval_6_r2_retry3,t006_m06_eval_6_r2,1,1,True,,t006_m06_eval_6_r2_retry3,721.3858793192256,-121.16835025853295,554.4015660239544,718.6022155761718,-109.0510589281718,551.8818461100261,12.432921338898511,2.51971991392827,12.433136181692264,12.685681750063125,True,71.77868999999998,8.399819374084473,51.46303200721741,q_unseen,True,,False,,,6,60.0,
1,C,2026-08-26T04:41:36.244330+00:00,110.52566178042107,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,,3.0,6,50.0,False,M04,False,5.0,eval_5,1,30.0,t007_m04_eval_5_r1,t007_m04_eval_5_r1,0,1,True,,t007_m04_eval_5_r1,714.1765732478048,81.70550437117907,552.0088031024478,711.2796020507812,69.46831630071003,551.9436281840007,12.575421026288293,0.0651749184471555,0.7250756539185198,12.575589916914765,True,85.12973999999997,7.149933099746704,48.58848476409912,q_unseen,True,,False,,,7,60.0,
1,B,2026-08-26T04:42:49.987866+00:00,146.59922115245232,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,operator_failure,3.0,6,50.0,False,M10,False,5.0,eval_1,1,30.0,t008_m10_eval_1_r1,t008_m10_eval_1_r1,1,1,False,,t008_m10_eval_1_r1,675.2381561409411,1.389613109720775,549.505387974496,640.4706359863281,-15.396353832880656,552.2020701090495,38.60763064343014,-2.696682134553498,9.106302251248074,38.70169554986378,True,24.323399999999992,0.0,38.30094051361084,exact_grid,True,,False,,,8,60.0,
1,A,2026-08-26T04:44:24.175115+00:00,146.59922115245232,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,operator_failure,3.0,6,50.0,False,M03,False,5.0,eval_4,2,30.0,t009_m03_eval_4_r2,t009_m03_eval_4_r2,1,1,False,,t009_m03_eval_4_r2,638.2045770393827,-11.532095593896948,556.1269378112504,494.0947235107422,-23.48485736846924,551.7402435302735,144.604697012531,4.38669428097694,11.960898356966652,144.67121857785207,True,72.40534000000002,4.100013732910156,40.063607692718506,exact_grid,True,,False,,,9,60.0,
1,B,2026-08-26T04:45:59.876949+00:00,0.0,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,,3.0,6,50.0,False,M10,False,5.0,eval_2,2,30.0,t010_m10_eval_2_r2,t010_m10_eval_2_r2,1,1,True,,t010_m10_eval_2_r2,783.2620445422501,157.73880533104696,553.8459148137563,776.7053649902343,159.72193145751953,551.3918487548829,6.850024524140051,2.4540660588734227,6.854049282171737,7.276350472773743,True,82.90633000000003,6.9499664306640625,57.97870063781738,exact_grid,True,,False,,,10,60.0,
1,C,2026-08-26T04:47:15.546587+00:00,112.21736469714092,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,operator_failure,3.0,6,50.0,False,M02,False,5.0,eval_7,1,30.0,t011_m02_eval_7_r1,t011_m02_eval_7_r1,1,1,False,,t011_m02_eval_7_r1,721.2371138834826,136.3870028740953,551.9975614690076,562.8603649139404,67.22353074153263,552.4164560953776,172.82008127411916,-0.41889462637004726,20.864494997011978,172.82058894790617,True,76.83149999999989,2.8498411178588867,42.515355348587036,q_unseen,True,,False,,,11,60.0,
1,D,2026-08-26T04:48:14.916625+00:00,0.0,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,,3.0,6,50.0,False,M01,False,5.0,eval_4,2,30.0,t012_m01_eval_4_r2,t012_m01_eval_4_r2,0,1,True,,t012_m01_eval_4_r2,488.7457134032524,-21.294601240203455,554.965282132531,494.0947235107422,-23.48485736846924,551.7402435302735,5.780063238186392,3.2250386022575412,5.113956303598868,6.618912676828803,True,88.83483999999999,6.3999598026275635,32.503150939941406,exact_grid,True,,False,,,12,60.0,
1,C,2026-08-26T04:49:20.235966+00:00,0.0,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,,3.0,6,50.0,False,M07,False,5.0,eval_1,1,30.0,t013_m07_eval_1_r1,t013_m07_eval_1_r1,2,1,True,,t013_m07_eval_1_r1,640.8177270721814,-13.517300127021656,555.2833582436806,640.4706359863281,-15.396353832880656,552.2020701090495,1.9108414511364364,3.0812881346311087,0.3302765433341497,3.6256932606054333,True,64.5462,4.4500885009765625,40.705690145492554,exact_grid,True,,False,,,13,60.0,
1,D,2026-08-26T04:50:42.220864+00:00,112.21736469714092,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,,3.0,6,50.0,False,M08,False,5.0,eval_7,1,30.0,t014_m08_eval_7_r1,t014_m08_eval_7_r1,2,1,True,,t014_m08_eval_7_r1,558.0022293591783,80.16844464821422,542.3275113250527,562.8603649139404,67.22353074153263,552.4164560953776,13.826506323719043,-10.088944770324929,13.827362908436733,17.1160475489673,True,88.30394000000001,4.349914312362671,35.25905966758728,q_unseen,True,,False,,,14,60.0,
1,A,2026-08-26T04:52:02.091771+00:00,110.52566178042107,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,operator_failure,3.0,6,50.0,False,M11,False,5.0,eval_5,1,30.0,t015_m11_eval_5_r1,t015_m11_eval_5_r1,2,1,False,,t015_m11_eval_5_r1,710.5944098936932,-13.154694143953202,548.3341623335974,711.2796020507812,69.46831630071003,551.9436281840007,82.62585154315244,-3.6094658504032395,82.79248882328653,82.70465275277016,True,68.27840000000003,3.150002956390381,44.81991195678711,q_unseen,True,,False,,,15,60.0,
1,B,2026-08-26T04:52:59.516556+00:00,115.80658623209825,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,operator_failure,3.0,6,50.0,False,M12,False,5.0,eval_8,2,30.0,t016_m12_eval_8_r2,t016_m12_eval_8_r2,0,1,False,,t016_m12_eval_8_r2,654.3886956415466,-140.04295951324207,561.3155890312535,568.3679550170898,-112.33671439091364,552.2566111246745,90.37258343302257,9.058977906579003,32.92618995104751,90.82548605468904,True,23.96225000000004,0.0,34.981876373291016,q_unseen,True,,False,,,16,60.0,
2,C,2026-08-26T04:59:36.894914+00:00,0.0,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,,3.0,6,50.0,False,M07,False,5.0,eval_2,2,30.0,t017_m07_eval_2_r2_retry1,t017_m07_eval_2_r2,2,1,True,,t017_m07_eval_2_r2_retry1,771.3782065583838,163.86601345086504,543.1090262057886,776.7053649902343,159.72193145751953,551.3918487548829,6.749224586988252,-8.282822549094249,5.105695450776355,10.684436433681979,True,91.02679999999998,10.249890327453613,57.40103220939636,exact_grid,True,,False,,,17,60.0,
1,B,2026-08-26T05:01:56.742524+00:00,0.0,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,,3.0,6,50.0,False,M09,False,5.0,eval_3,1,30.0,t018_m09_eval_3_r1,t018_m09_eval_3_r1,2,1,True,,t018_m09_eval_3_r1,649.381885233578,-206.9317179802465,558.6067636613988,643.7679412841796,-201.69928894042968,553.3763702392578,7.674286958649981,5.230393422140992,6.667599712750746,9.287179102078357,True,115.8945,16.149999380111694,70.60141372680664,exact_grid,True,,False,,,18,60.0,
1,A,2026-08-26T05:03:19.797524+00:00,221.87004130755858,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,operator_failure,3.0,6,50.0,False,M05,False,5.0,eval_2,2,30.0,t019_m05_eval_2_r2,t019_m05_eval_2_r2,0,1,False,,t019_m05_eval_2_r2,650.2278990900616,-23.71022322590542,555.2299853570784,776.7053649902343,159.72193145751953,551.3918487548829,222.80912178888303,3.8381366021955046,222.81279597018846,222.8421774371055,True,73.14080000000001,5.549895763397217,41.53407883644104,exact_grid,True,,False,,,19,60.0,
1,D,2026-08-26T05:17:49.028660+00:00,115.80658623209825,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,,3.0,6,50.0,False,M08,False,5.0,eval_8,2,30.0,t020_m08_eval_8_r2,t020_m08_eval_8_r2,2,1,True,,t020_m08_eval_8_r2,566.1413328523096,-108.18774376252624,547.1495956692595,568.3679550170898,-112.33671439091364,552.2566111246745,4.708694462365543,-5.107015455414967,2.616295339334418,6.94646747647747,True,97.86919999999998,8.600053071975708,48.20714592933655,q_unseen,True,,False,,,20,60.0,resident_12_model_pool_v1
1,A,2026-08-26T05:18:58.307139+00:00,121.96617365355868,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,operator_failure,3.0,6,50.0,False,M11,False,5.0,eval_6,2,30.0,t021_m11_eval_6_r2,t021_m11_eval_6_r2,2,1,False,,t021_m11_eval_6_r2,652.5245232753068,-25.883371060892006,555.7935370092121,718.6022155761718,-109.0510589281718,551.8818461100261,106.22205856128507,3.911690899185942,106.25663225030902,106.29405933864719,True,23.68484000000001,0.0,43.782055616378784,q_unseen,True,,False,,,21,60.0,resident_12_model_pool_v1
1,D,2026-08-26T05:20:10.774516+00:00,0.0,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,,3.0,6,50.0,False,M01,False,5.0,eval_3,1,30.0,t022_m01_eval_3_r1,t022_m01_eval_3_r1,0,1,True,,t022_m01_eval_3_r1,638.5830466679708,-196.78013419143645,555.9925808028134,643.7679412841796,-201.69928894042968,553.3763702392578,7.147112397726347,2.6162105635556827,5.431825851032966,7.610898326649358,True,92.06805999999995,10.64993667602539,45.0560188293457,exact_grid,True,,False,,,22,60.0,resident_12_model_pool_v1
1,C,2026-08-26T05:21:09.060465+00:00,115.80658623209825,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,operator_failure,3.0,6,50.0,False,M02,False,5.0,eval_8,2,30.0,t023_m02_eval_8_r2,t023_m02_eval_8_r2,1,1,False,,t023_m02_eval_8_r2,568.6888020833433,-98.71824824987706,557.4732673902354,568.3679550170898,-112.33671439091364,552.2566111246745,13.622245148083453,5.216656265560914,0.761974736478036,14.586948463181018,True,66.88705000000004,2.50000262260437,31.775444269180298,q_unseen,True,,False,,,23,60.0,resident_12_model_pool_v1
2,B,2026-08-26T05:22:54.795524+00:00,0.0,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,,3.0,6,50.0,False,M09,False,5.0,eval_4,2,30.0,t024_m09_eval_4_r2_retry1,t024_m09_eval_4_r2,2,1,True,,t024_m09_eval_4_r2_retry1,498.1021058528049,-25.04300558767565,560.0524109807769,494.0947235107422,-23.48485736846924,551.7402435302735,4.299644067651677,8.312167450503466,4.231806004284211,9.358368812656485,True,102.43786,11.299890279769897,37.14779210090637,exact_grid,True,,False,,,24,60.0,resident_12_model_pool_v1
1,A,2026-08-26T05:23:57.290797+00:00,121.96617365355868,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,operator_failure,3.0,6,50.0,False,M11,False,5.0,eval_6,1,30.0,t025_m11_eval_6_r1,t025_m11_eval_6_r1,2,2,False,,t025_m11_eval_6_r1,722.7227324524691,-20.828142265953385,549.8185037745052,718.6022155761718,-109.0510589281718,551.8818461100261,88.31909014316545,-2.063342335520929,75.96425083621615,88.34318912802581,True,52.64985999999999,1.1500575542449951,40.46513223648071,q_unseen,True,,False,,,25,60.0,resident_12_model_pool_v1
1,C,2026-08-26T05:25:21.696216+00:00,0.0,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,,3.0,6,50.0,False,M07,False,5.0,eval_2,1,30.0,t026_m07_eval_2_r1,t026_m07_eval_2_r1,2,2,True,,t026_m07_eval_2_r1,787.9901,156.70557239611358,538.0071818918971,776.7053649902343,159.72193145751953,551.3918487548829,11.680910333871948,-13.384666862985796,10.551950222113362,17.76493662417816,True,103.24262999999996,9.550124883651733,61.26573634147644,exact_grid,True,,False,,,26,60.0,resident_12_model_pool_v1
1,D,2026-08-26T05:26:31.000250+00:00,0.0,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,,3.0,6,50.0,False,M08,False,5.0,eval_1,2,30.0,t027_m08_eval_1_r2,t027_m08_eval_1_r2,2,2,True,,t027_m08_eval_1_r2,637.6911532189295,-9.241723565569197,555.4270176335679,640.4706359863281,-15.396353832880656,552.2020701090495,6.753147279718739,3.2249475245183703,2.1122169361400673,7.483667865256299,True,74.87029999999993,12.149957656860352,46.09980893135071,exact_grid,True,,False,,,27,60.0,resident_12_model_pool_v1
1,B,2026-08-26T05:27:30.102153+00:00,111.47307076187946,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,operator_failure,3.0,6,50.0,False,M09,False,5.0,eval_5,2,30.0,t028_m09_eval_5_r2,t028_m09_eval_5_r2,2,2,False,,t028_m09_eval_5_r2,,,,711.2796020507812,69.46831630071003,551.9436281840007,,,43.468563935154556,,,,0.0,42.364784955978394,q_unseen,True,,False,,,28,60.0,resident_12_model_pool_v1
1,D,2026-08-26T05:28:30.815053+00:00,115.80658623209825,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,,3.0,6,50.0,False,M08,False,5.0,eval_8,1,30.0,t029_m08_eval_8_r1,t029_m08_eval_8_r1,2,2,True,,t029_m08_eval_8_r1,562.1325133382635,-113.19184134415092,552.5850442898992,568.3679550170898,-112.33671439091364,552.2566111246745,6.293804496184885,0.3284331652247374,6.353644583280584,6.302368077176753,True,128.21546999999998,11.09995985031128,38.20165967941284,q_unseen,True,,False,,,29,60.0,resident_12_model_pool_v1
1,B,2026-08-26T05:29:23.561150+00:00,0.0,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,,3.0,6,50.0,False,M09,False,5.0,eval_4,1,30.0,t030_m09_eval_4_r1,t030_m09_eval_4_r1,2,2,True,,t030_m09_eval_4_r1,488.97208961585875,-21.64407042685324,548.0786514142928,494.0947235107422,-23.48485736846924,551.7402435302735,5.44333304009894,-3.661592115980625,5.335443893569854,6.560269156768207,True,90.22949000000006,9.700011491775513,33.65188026428223,exact_grid,True,,False,,,30,60.0,resident_12_model_pool_v1
1,C,2026-08-26T05:30:35.269328+00:00,116.29016762156017,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,,3.0,6,50.0,False,M04,False,5.0,eval_6,1,30.0,t031_m04_eval_6_r1,t031_m04_eval_6_r1,0,2,True,,t031_m04_eval_6_r1,727.6656193723694,-119.85412199128649,549.9615185770465,718.6022155761718,-109.0510589281718,551.8818461100261,14.101470133236521,-1.920327532979627,14.206580380642148,14.231623862106574,True,100.74000000000001,11.649969816207886,50.93730568885803,q_unseen,True,,False,,,31,60.0,resident_12_model_pool_v1
1,A,2026-08-26T05:31:50.944667+00:00,186.3321117035785,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,operator_failure,3.0,6,50.0,False,M05,False,5.0,eval_3,2,30.0,t032_m05_eval_3_r2,t032_m05_eval_3_r2,0,2,False,,t032_m05_eval_3_r2,654.5436144746677,-24.943259180260824,559.7886657912479,643.7679412841796,-201.69928894042968,553.3763702392578,177.08418672847642,6.412295551990155,152.87115425988546,177.20024470505672,True,38.505309999999895,0.0,35.95518088340759,exact_grid,True,,False,,,32,60.0,resident_12_model_pool_v1
1,B,2026-08-26T05:33:09.058309+00:00,115.80658623209825,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,operator_failure,3.0,6,50.0,False,M12,False,5.0,eval_8,1,30.0,t033_m12_eval_8_r1,t033_m12_eval_8_r1,0,2,False,,t033_m12_eval_8_r1,806.5002099687292,-51.32682793409274,561.2155440288645,568.3679550170898,-112.33671439091364,552.2566111246745,245.82346733749154,8.958932904190078,64.65412415044732,245.98666543658123,True,12.8817600000001,0.0,44.22845673561096,q_unseen,True,,False,,,33,60.0,resident_12_model_pool_v1
1,C,2026-08-26T05:34:07.316660+00:00,112.21736469714092,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,operator_failure,3.0,6,50.0,False,M04,False,5.0,eval_7,2,30.0,t034_m04_eval_7_r2,t034_m04_eval_7_r2,0,2,False,,t034_m04_eval_7_r2,726.9448837155389,59.01358512668304,554.5660693072903,562.8603649139404,67.22353074153263,552.4164560953776,164.28978214530238,2.1496132119126514,1.3261303150578558,164.3038446120837,True,30.777360000000044,0.0,41.71290874481201,q_unseen,True,,False,,,34,60.0,resident_12_model_pool_v1
1,A,2026-08-26T05:35:17.930551+00:00,110.52566178042107,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,operator_failure,3.0,6,50.0,False,M03,False,5.0,eval_5,2,30.0,t035_m03_eval_5_r2,t035_m03_eval_5_r2,1,2,False,,t035_m03_eval_5_r2,714.1764261801998,-13.925514412662068,552.7703476822462,711.2796020507812,69.46831630071003,551.9436281840007,83.44412855969762,0.8267194982455521,83.46319169231556,83.44822380504047,True,86.08912999999995,6.849924087524414,49.57242512702942,q_unseen,True,,False,,,35,60.0,resident_12_model_pool_v1
1,D,2026-08-26T05:36:24.930699+00:00,0.0,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,,3.0,6,50.0,False,M01,False,5.0,eval_4,1,30.0,t036_m01_eval_4_r1,t036_m01_eval_4_r1,0,2,True,,t036_m01_eval_4_r1,491.0073708094244,-20.437457457255306,555.3263886488578,494.0947235107422,-23.48485736846924,551.7402435302735,4.338017164696446,3.5861451185843407,3.661325766480086,5.628394951737777,True,93.61775,15.750068187713623,39.54506158828735,exact_grid,True,,False,,,36,60.0,resident_12_model_pool_v1
2,B,2026-08-26T05:39:30.813514+00:00,0.0,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,,3.0,6,50.0,False,M10,False,5.0,eval_2,1,30.0,t037_m10_eval_2_r1_retry1,t037_m10_eval_2_r1,1,2,True,,t037_m10_eval_2_r1_retry1,779.3512189040704,158.55729682870492,561.2342136988818,776.7053649902343,159.72193145751953,551.3918487548829,2.8908332279804183,9.842364943998973,2.868876013692977,10.258121876974146,True,69.18840999999998,11.499924898147583,58.55343794822693,exact_grid,True,,False,,,37,60.0,resident_12_model_pool_v1
1,C,2026-08-26T05:40:38.621362+00:00,0.0,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,,3.0,6,50.0,False,M07,False,5.0,eval_3,2,30.0,t038_m07_eval_3_r2,t038_m07_eval_3_r2,2,2,True,,t038_m07_eval_3_r2,639.359589170195,-196.71355264058295,547.380738056819,643.7679412841796,-201.69928894042968,553.3763702392578,6.655158511446746,-5.995632182438726,5.147434758184954,8.957607944065035,True,80.42694999999992,12.199993371963501,44.473169565200806,exact_grid,True,,False,,,38,60.0,resident_12_model_pool_v1
1,D,2026-08-26T05:41:44.932523+00:00,112.21736469714092,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,,3.0,6,50.0,False,M06,False,5.0,eval_7,2,30.0,t039_m06_eval_7_r2,t039_m06_eval_7_r2,1,2,True,,t039_m06_eval_7_r2,560.6392795131255,77.65420491147087,551.8981615336783,562.8603649139404,67.22353074153263,552.4164560953776,10.664529244046825,-0.5182945616993493,9.228828599829772,10.677116335875388,True,95.2174,12.049999475479126,39.14106512069702,q_unseen,True,,False,,,39,60.0,resident_12_model_pool_v1
1,A,2026-08-26T05:42:37.878712+00:00,146.59922115245232,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,operator_failure,3.0,6,50.0,False,M03,False,5.0,eval_4,1,30.0,t040_m03_eval_4_r1,t040_m03_eval_4_r1,1,2,False,,t040_m03_eval_4_r1,642.1039425331624,-16.49818049759534,550.668483614711,494.0947235107422,-23.48485736846924,551.7402435302735,148.17402798508496,-1.0717599155624384,4.983529802315599,148.1779040162242,True,5.589040000000068,0.0,33.71186709403992,exact_grid,True,,False,,,40,60.0,resident_12_model_pool_v1
1,C,2026-08-26T05:43:38.249995+00:00,0.0,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,,3.0,6,50.0,False,M02,False,5.0,eval_1,2,30.0,t041_m02_eval_1_r2,t041_m02_eval_1_r2,1,2,True,,t041_m02_eval_1_r2,646.5454352115363,-21.347731087180026,552.5197730706138,640.4706359863281,-15.396353832880656,552.2020701090495,8.504238757794932,0.3177029615643505,8.571607131521468,8.510171092367546,True,81.11809999999991,5.49994969367981,40.05910110473633,exact_grid,True,,False,,,41,60.0,resident_12_model_pool_v1
1,B,2026-08-26T05:44:43.258893+00:00,0.0,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,,3.0,6,50.0,False,M10,False,5.0,eval_3,2,30.0,t042_m10_eval_3_r2,t042_m10_eval_3_r2,1,2,True,,t042_m10_eval_3_r2,649.3078640844028,-204.00321603607043,554.0839743570781,643.7679412841796,-201.69928894042968,553.3763702392578,5.999902057072273,0.7076041178203241,6.027211064693469,6.041483947013049,True,105.47609999999997,10.299983501434326,44.628172874450684,exact_grid,True,,False,,,42,60.0,resident_12_model_pool_v1
1,D,2026-08-26T05:45:53.654476+00:00,110.52566178042107,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,,3.0,6,50.0,False,M01,False,5.0,eval_5,2,30.0,t043_m01_eval_5_r2,t043_m01_eval_5_r2,0,2,True,,t043_m01_eval_5_r2,714.0480463075139,85.91627767882458,544.4211269957468,711.2796020507812,69.46831630071003,551.9436281840007,16.679320043052837,-7.522501188253841,1.7623167505955093,18.29720583110614,True,78.71154000000001,6.300213098526001,47.48849654197693,q_unseen,True,,False,,,43,60.0,resident_12_model_pool_v1
1,A,2026-08-26T05:47:20.355354+00:00,221.87004130755858,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,operator_failure,3.0,6,50.0,False,M05,False,5.0,eval_2,1,30.0,t044_m05_eval_2_r1,t044_m05_eval_2_r1,0,2,False,,t044_m05_eval_2_r1,642.7421286423896,-17.87635167467691,555.4435239010741,776.7053649902343,159.72193145751953,551.3918487548829,222.45740910181507,4.051675146191201,222.52171544742694,222.49430315354724,True,60.23870999999997,3.9500224590301514,66.71851849555969,exact_grid,True,,False,,,44,60.0,resident_12_model_pool_v1
1,D,2026-08-26T05:48:26.368113+00:00,116.29016762156017,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,,3.0,6,50.0,False,M06,False,5.0,eval_6,1,30.0,t045_m06_eval_6_r1,t045_m06_eval_6_r1,1,2,True,,t045_m06_eval_6_r1,724.8265738299513,-118.6044502830018,555.0877289686432,718.6022155761718,-109.0510589281718,551.8818461100261,11.402189353362477,3.2058828586170875,10.739812020466147,11.844306942709123,True,100.97625999999991,6.349984645843506,46.270758867263794,q_unseen,True,,False,,,45,60.0,resident_12_model_pool_v1
1,A,2026-08-26T05:49:21.905458+00:00,113.35519177796346,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,operator_failure,3.0,6,50.0,False,M11,False,5.0,eval_7,2,30.0,t046_m11_eval_7_r2,t046_m11_eval_7_r2,2,2,False,,t046_m11_eval_7_r2,654.158002022753,-24.076012081950857,546.6513182954833,562.8603649139404,67.22353074153263,552.4164560953776,129.11570416269865,-5.765137799894319,100.85107457743104,129.2443494907274,True,39.89354000000003,0.0,38.30868673324585,q_unseen,True,,False,,,46,60.0,resident_12_model_pool_v1
2,B,2026-08-26T05:51:44.989001+00:00,146.59922115245232,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,operator_failure,3.0,6,50.0,False,M12,False,5.0,eval_1,2,30.0,t047_m12_eval_1_r2_retry1,t047_m12_eval_1_r2,0,2,False,,t047_m12_eval_1_r2_retry1,,,,640.4706359863281,-15.396353832880656,552.2020701090495,,,18.130624140346224,,,,0.0,45.49540829658508,exact_grid,True,,False,,,47,60.0,resident_12_model_pool_v1
1,C,2026-08-26T05:53:06.208684+00:00,115.80658623209825,linear_interp_30hz_v1,main_recollection_20260817_main_smooth30hz,operator_failure,3.0,6,50.0,False,M02,False,5.0,eval_8,1,30.0,t048_m02_eval_8_r1,t048_m02_eval_8_r1,1,2,False,,t048_m02_eval_8_r1,570.8502957348876,-101.2835377319375,555.0525317570567,568.3679550170898,-112.33671439091364,552.2566111246745,11.328491942609654,2.7959206323822627,1.9123085275412683,11.66841471136301,True,87.09559999999999,8.900064945220947,37.515183210372925,q_unseen,True,,False,,,48,60.0,resident_12_model_pool_v1
