trial,session,model_code,position_id,repeat,rollout_id
1,1,M12,eval_7,1,t001_m12_eval_7_r1
2,1,M04,eval_6,2,t002_m04_eval_6_r2
3,1,M03,eval_3,1,t003_m03_eval_3_r1
4,1,M06,eval_5,1,t004_m06_eval_5_r1
5,1,M05,eval_1,1,t005_m05_eval_1_r1
6,1,M06,eval_6,2,t006_m06_eval_6_r2
7,1,M04,eval_5,1,t007_m04_eval_5_r1
8,1,M10,eval_1,1,t008_m10_eval_1_r1
9,1,M03,eval_4,2,t009_m03_eval_4_r2
10,1,M10,eval_2,2,t010_m10_eval_2_r2
11,1,M02,eval_7,1,t011_m02_eval_7_r1
12,1,M01,eval_4,2,t012_m01_eval_4_r2
13,1,M07,eval_1,1,t013_m07_eval_1_r1
14,1,M08,eval_7,1,t014_m08_eval_7_r1
15,1,M11,eval_5,1,t015_m11_eval_5_r1
16,1,M12,eval_8,2,t016_m12_eval_8_r2
17,1,M07,eval_2,2,t017_m07_eval_2_r2
18,1,M09,eval_3,1,t018_m09_eval_3_r1
19,1,M05,eval_2,2,t019_m05_eval_2_r2
20,1,M08,eval_8,2,t020_m08_eval_8_r2
21,1,M11,eval_6,2,t021_m11_eval_6_r2
22,1,M01,eval_3,1,t022_m01_eval_3_r1
23,1,M02,eval_8,2,t023_m02_eval_8_r2
24,1,M09,eval_4,2,t024_m09_eval_4_r2
25,2,M11,eval_6,1,t025_m11_eval_6_r1
26,2,M07,eval_2,1,t026_m07_eval_2_r1
27,2,M08,eval_1,2,t027_m08_eval_1_r2
28,2,M09,eval_5,2,t028_m09_eval_5_r2
29,2,M08,eval_8,1,t029_m08_eval_8_r1
30,2,M09,eval_4,1,t030_m09_eval_4_r1
31,2,M04,eval_6,1,t031_m04_eval_6_r1
32,2,M05,eval_3,2,t032_m05_eval_3_r2
33,2,M12,eval_8,1,t033_m12_eval_8_r1
34,2,M04,eval_7,2,t034_m04_eval_7_r2
35,2,M03,eval_5,2,t035_m03_eval_5_r2
36,2,M01,eval_4,1,t036_m01_eval_4_r1
37,2,M10,eval_2,1,t037_m10_eval_2_r1
38,2,M07,eval_3,2,t038_m07_eval_3_r2
39,2,M06,eval_7,2,t039_m06_eval_7_r2
40,2,M03,eval_4,1,t040_m03_eval_4_r1
41,2,M02,eval_1,2,t041_m02_eval_1_r2
42,2,M10,eval_3,2,t042_m10_eval_3_r2
43,2,M01,eval_5,2,t043_m01_eval_5_r2
44,2,M05,eval_2,1,t044_m05_eval_2_r1
45,2,M06,eval_6,1,t045_m06_eval_6_r1
46,2,M11,eval_7,2,t046_m11_eval_7_r2
47,2,M12,eval_1,2,t047_m12_eval_1_r2
48,2,M02,eval_8,1,t048_m02_eval_8_r1
49,3,M05,eval_4,2,t049_m05_eval_4_r2
50,3,M04,eval_8,2,t050_m04_eval_8_r2
51,3,M10,eval_4,2,t051_m10_eval_4_r2
52,3,M01,eval_6,2,t052_m01_eval_6_r2
53,3,M07,eval_4,2,t053_m07_eval_4_r2
54,3,M06,eval_7,1,t054_m06_eval_7_r1
55,3,M09,eval_5,1,t055_m09_eval_5_r1
56,3,M11,eval_7,1,t056_m11_eval_7_r1
57,3,M02,eval_2,2,t057_m02_eval_2_r2
